City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,saint-philippe,-21.3585,55.7679,24.32,83,37,5.49,RE,1732592118
314,mpongwe,-13.5091,28.155,18.61,92,100,1.45,ZM,1732592118
315,salalah,17.0151,54.0924,24.05,69,20,1.03,OM,1732592119
316,al artawiyah,26.5053,45.3444,18.64,68,19,3.37,SA,1732592119
317,severo-yeniseyskiy,60.3725,93.0408,-9.72,98,93,1.69,RU,1732592119
318,coronel dorrego,-38.7187,-61.2873,14.46,51,22,8.69,AR,1732592119
319,tongshan,34.1805,117.1571,6.21,24,0,4.69,CN,1732592119
320,acapulco de juarez,16.8634,-99.8901,27.9,78,20,0.0,MX,1732592023
321,santa cruz,-17.8,-63.1667,25.7,83,20,2.57,BO,1732592119
322,akjoujt,19.6969,-14.4164,23.62,14,5,4.47,MR,1732592119
323,mayya,61.7333,130.2811,-23.96,92,98,1.26,RU,1732592119
324,new norfolk,-42.7826,147.0587,22.73,34,7,2.74,AU,1732592120
325,tsiombe,-25.3,45.4833,27.81,71,37,3.88,MG,1732592120
326,san matias,-16.3667,-58.4,28.05,69,90,1.97,BO,1732592120
327,chonchi,-42.6128,-73.8092,9.51,95,58,1.3,CL,1732592120
328,newman,37.3138,-121.0208,13.35,86,100,3.13,US,1732592120
329,kapuskasing,49.4169,-82.4331,-0.95,100,100,2.06,CA,1732592086
330,fortuna,40.5982,-124.1573,11.07,97,100,3.09,US,1732592121
331,inhambane,-23.865,35.3833,26.14,71,0,4.66,MZ,1732592121
332,sarikei,2.1167,111.5167,29.24,75,85,1.48,MY,1732592121
333,sinop,41.7711,34.8709,0.65,100,100,1.96,TR,1732592121
334,hadibu,12.65,54.0333,25.96,67,64,4.98,YE,1732592121
335,east london,-33.0153,27.9116,20.52,77,75,6.17,ZA,1732592121
336,vorgashor,67.5833,63.95,-3.86,92,100,12.51,RU,1732592121
337,east ballina,-28.8667,153.5833,24.77,68,47,7.29,AU,1732592121
338,acarau,-2.8856,-40.12,24.74,80,5,4.71,BR,1732592121
339,kalevala,65.2,31.1667,4.0,98,100,5.17,RU,1732592122
340,geneseo,42.7959,-77.8169,8.6,86,100,3.56,US,1732592122
341,manay,7.215,126.5397,29.48,66,94,5.27,PH,1732592122
342,freetown,8.484,-13.2299,26.2,80,79,1.64,SL,1732592122
343,troitsko-pechorsk,62.7084,56.1964,-2.31,72,100,6.56,RU,1732592122
344,buka,40.8108,69.1986,10.41,29,90,0.92,UZ,1732592122
345,bali,-8.5,115.0,29.47,69,100,1.87,ID,1732592122
346,palmer,42.1584,-72.3287,1.95,76,100,0.39,US,1732592122
347,dunedin,-45.8742,170.5036,16.56,75,19,1.34,NZ,1732591948
